,0
297,3.0383754657487083
298,3.036774563508641
299,3.0351957497227637
300,3.0336277743453914
301,3.0320637378801125
302,3.0304882516046705
303,3.028881978759137
304,3.02724872439386
305,3.0256478282310484
306,3.0240291382405573
307,3.0223734309049086
308,3.020684754969529
309,3.019031172704686
310,3.0174370282984606
311,3.0158705255105325
312,3.0143287068277536
313,3.012788251839815
314,3.0112351153636565
315,3.009641925801956
316,3.0080400776776384
317,3.0064723566945224
318,3.0049216203035507
319,3.003393750726822
320,3.001879501738192
321,3.000387062345287
322,2.9989216098372493
323,2.9974766415076965
324,2.996041153522274
325,2.9946144262734173
326,2.993203378791805
327,2.9918118626528387
328,2.9904285150673093
329,2.9890479474830083
330,2.9876668939762308
331,2.9862719720142348
332,2.984836243368523
333,2.9833724923627014
334,2.9819322260606205
335,2.9805133076669947
336,2.9791049287085403
337,2.977714312501221
338,2.976338777401617
339,2.9749642331393225
340,2.9736167886077567
341,2.9722761712816514
342,2.970946162437983
343,2.9696409806986517
344,2.9683600423557714
345,2.967088669606904
346,2.965812716354621
347,2.9645376316386565
348,2.9632734124362683
349,2.9620190409256066
350,2.9607702987198103
351,2.959525848367872
352,2.9582739827652214
353,2.957003398173538
354,2.9557222880918563
355,2.9544333984117337
356,2.953137206118967
357,2.951819231194297
358,2.9504961484195875
359,2.949224684702378
360,2.9479286955610577
361,2.9466122033232978
362,2.94532653507843
363,2.944037625925389
364,2.942746772533332
365,2.941495613695853
366,2.9402365808288096
367,2.939015541115312
368,2.9378012934792674
369,2.93659483520052
370,2.935410058760992
371,2.9342226261760214
372,2.9330426761848982
373,2.9318698087868125
374,2.9307150099334605
375,2.9295836464948732
376,2.9284635637827745
377,2.9273513896312067
378,2.9262459672790784
379,2.9251446893256543
380,2.9240438838598424
381,2.9229466854201283
382,2.921857195348888
383,2.9207664056870715
384,2.919670364119096
385,2.9185739835203086
386,2.917481407805925
387,2.9163877549616
388,2.9152813081188618
389,2.91415363839067
390,2.9130146946537
391,2.911884153494793
392,2.9107617885550803
393,2.9096450172095447
394,2.908535414059761
395,2.907425006541458
396,2.906303949422385
397,2.9051765473860565
398,2.9040622111208547
399,2.9029610570808675
400,2.901873528980177
401,2.900789264909004
402,2.8996910896231487
403,2.898567593546049
404,2.897462197801993
405,2.8963746469828124
406,2.89528863976165
407,2.8941935319332264
408,2.8930888684194915
409,2.89199053016942
410,2.8909005428001846
411,2.8898126728781754
412,2.8887240938491003
413,2.8876321109446472
414,2.8865364804361904
415,2.885439558116237
416,2.8843388210935013
417,2.8832394600714446
418,2.8821632434672786
419,2.8810976200367246
420,2.880023922306713
421,2.878941319375806
422,2.8778570570373336
423,2.8767709917028887
424,2.87567638252592
425,2.8745559830454774
426,2.873435679850393
427,2.8723383897426684
